Nombre parada,Coordenada Y,Coordenada X,Nueva columna georreferenciada
Av. Las Torres con Calle 45 Olimpica Soledad,10.930985,-74.787303,POINT(-74.787303 10.930985)
Av. Las Torres con Calle 54 Lado Norte Soledad,10.929845,-74.790683,POINT(-74.790683 10.929845)
Av. Las Torres No. 56A-12 Lado Norte Soledad,10.929528,-74.793657,POINT(-74.793657 10.929528)
Av. Las Torres No. 41C-92 Lado Norte,10.929863,-74.796545,POINT(-74.796545 10.929863)
Av. Las Torres No. 43-76 Lado Norte,10.930047,-74.798235,POINT(-74.798235 10.930047)
Av. Las Torres con Calle 45 Lado Norte,10.930197,-74.799847,POINT(-74.799847 10.930197)
Av. Las Torres con Calle 45H Lado Norte,10.93041,-74.801802,POINT(-74.801802 10.93041)
Carrera 1E No. 45H-41,10.93184,-74.801897,POINT(-74.801897 10.93184)
Carrera 24 Con Calle 63,10.921226,-74.798931,POINT(-74.798931 10.921226)
Carrera 24 con Calle 59 Lado Sur Soledad,10.92152,-74.796022,POINT(-74.796022 10.92152)
Carrera 24 con Calle 57D Lado Sur Soledad,10.921237,-74.794565,POINT(-74.794565 10.921237)
Carrera 24 con Calle 55B Lado Sur Soledad,10.920945,-74.793112,POINT(-74.793112 10.920945)
Carrera 24 con Calle 54 Lado Sur Soledad,10.921297,-74.791322,POINT(-74.791322 10.921297)
Carrera 24 con Calle 48 Lado Sur Soledad,10.92143,-74.789708,POINT(-74.789708 10.92143)
Carrera 24 con Calle 45A2 Lado Sur Soledad,10.921263,-74.788557,POINT(-74.788557 10.921263)
Calle 45 con Carrera 25 esq Lado Oriental Soledad,10.922547,-74.787095,POINT(-74.787095 10.922547)
Calle 45 con Carrera 26A Lado Oriental Soledad,10.923683,-74.7863,POINT(-74.7863 10.923683)
Calle 43 con Carrera 31 Lado Oriental Soledad,10.925265,-74.784267,POINT(-74.784267 10.925265)
Calle 43 con Carrera 37 Lado Oriental Soledad,10.927214,-74.784229,POINT(-74.784229 10.927214)
Calle 43 con Carrera 37 Lado Occidental Soledad,10.927029,-74.784264,POINT(-74.784264 10.927029)
Calle 43 con Carrera 32 Lado Occidental Soledad,10.925545,-74.784264,POINT(-74.784264 10.925545)
Calle 45 con Carrera 26 Lado Occidental Soledad,10.922297,-74.787265,POINT(-74.787265 10.922297)
Calle 45 con Carrera 24B Lado Occidental Soledad,10.921752,-74.78763,POINT(-74.78763 10.921752)
